,service_name,description,user_symptoms,vendor,year
432,AWS CodeDeploy (N. Virginia),"11:46 AM PST We can confirm increased deployment error rates in the US-EAST-1 Region. 2:32 PM PST We are seeing recovery in error rates while executing deployments in the US-EAST-1 Region. We will continue to monitor deployment error rate until fully recovered. 5:37 PM PST Between 9:37 AM PST and 5:20 PM PST we experienced an increased error rate while executing deployments, in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased Error Rates,AWS,2017
123,Amazon Elastic Container Service (Ireland),11:49 AM PST We are investigating elevated API error rates in the EU-WEST-1 Region.12:30 PM PST Between 11:05 AM and 12:05 PM PST we experienced elevated API error rates in the EU-WEST-1 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Elevated API Error Rates,AWS,2020
104,Amazon Elastic Container Registry (N. Virginia),11:44 AM PST We are investigating increased API error rates for the ECR APIs in the US-EAST-1 Region. 11:58 AM PST Between 11:14 AM and 11:51 AM PST we experienced increased API error rates for the ECR APIs in the US-EAST-1 Region. The issue has been resolved and the service is operating normally. ,[RESOLVED] Elevated API Error Rates,AWS,2020
408,Amazon Elastic MapReduce (N. Virginia)," 2:59 AM PST We are investigating delays in starting and terminating clusters in the US-EAST-1 Region. 3:31 AM PST We are continuing to investigate delays in starting and terminating clusters in the US-EAST-1 Region. 4:23 AM PST Between 12:40 AM and 3:42 AM PST, we experienced delays in running steps, as well as starting and terminating Amazon EMR clusters in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.",[RESOLVED] Delays in starting and terminating clusters ,AWS,2017
118,Amazon Relational Database Service (Montreal)," 5:19 PM PST We wanted to provide an update for Amazon Aurora in the CA-CENTRAL-1 Region that we previously communicated to affected customers on their Personal Health Dashboards. Beginning at 11:43 AM PST some Amazon Aurora clusters experienced increased database create times and cluster unavailability in the CA-CENTRAL-1 Region. Elevated create times were resolved at 2:14 PM PST, at which point some existing clusters continued to experience availability issues. As of 4:48 PM PST both issues have been resolved and the service is operating normally.",[RESOLVED] Increased Create Times and Cluster Unavailability,AWS,2020
606,Amazon CloudWatch (Cape Town)," 8:19 PM PST We are investigating CloudWatch Metric Streams delivery delays in the AF-SOUTH-1 Region. 9:09 PM PST We can confirm elevated API error rates for CloudWatch Metric Streams APIs in the AF-SOUTH-1 Region. We are actively working to resolve the issue. Customers may experience issues creating or updating their metric streams. Delivery of metric updates for the existing metric streams is not affected. 9:42 PM PST Between 7:30 PM and 9:25 PM PST, we experienced elevated error rates when calling CloudWatch Metric Streams APIs in the AF-SOUTH-1 Region. Customers may have experienced issues creating or updating their metric streams. Delivery of metric updates for the existing metric streams was not affected. The issue has been resolved and the service is operating normally.",[RESOLVED] Metric Stream Delivery Delays ,AWS,2022
572,Amazon Elastic Compute Cloud (Oregon), 4:28 PM PST We are investigating increased error rates and latencies for the EC2 APIs in the US-WEST-2 Region. 5:09 PM PST Between 3:51 PM and 4:57 PM PST we experienced increased error rates and latencies for the EC2 APIs in the US-WEST-2 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Increased API Error Rates,AWS,2017
95,Amazon Kinesis Firehose (Seoul), 4:46 PM PST We are investigating increased API fault rates in the AP-NORTHEAST-2 Region. 5:05 PM PST Between 3:19 PM and 4:43 PM PST we experienced increased API fault rates and latencies in the AP-NORTHEAST-2 Region. The issue has been resolved and the service is operating normally. ,[RESOLVED] Increased Error Rates,AWS,2020
334,Amazon Kinesis Data Streams (N. Virginia)," 6:36 AM PST We are investigating increased error rates for Kinesis Data Streams APIs in the US-EAST-1 Region. 7:50 AM PST We are continuing to investigate increased Kinesis Data Streams API errors, and are working on identifying root cause. 8:12 AM PST Kinesis Data Streams customers are still experiencing increased API errors. This is also impacting other services, including ACM, Amplify Console, API Gateway, AppStream2, AppSync, Athena, Cloudformation, Cloudtrail, CloudWatch, Cognito, Connect, DynamoDB, EventBridge, IoT Services, Lambda, LEX, Managed Blockchain, Resource Groups, SageMaker, Support Console, and Workspaces. We are continuing to work on identifying root cause. 8:52 AM PST The Kinesis Data Streams API is severely impaired. This is also impacting other services, including ACM, Amplify Console, API Gateway, AppStream2, AppSync, Athena, CloudFormation, CloudTrail, CloudWatch, Cognito, Connect, DynamoDB, EventBridge, IoT Services, Lambda, LEX, Managed Blockchain, Resource Groups, SageMaker, Support Console, and Workspaces. We are actively working towards resolution. 9:32 AM PST The Kinesis Data Streams API is currently impaired in the US-EAST-1 Region. As a result customers are not able to write or read data published to Kinesis streams.

CloudWatch metrics and events are also affected, with elevated PutMetricData API error rates and some delayed metrics.

While EC2 instances and connectivity remain healthy, some instances are experiencing delayed instance health metrics, but remain in a healthy state.

AutoScaling is also experiencing delays in scaling times due to CloudWatch metric delays.

The issue is also affecting other services, including ACM, Amplify Console, API Gateway, AppMesh, AppStream2, AppSync, Athena, Batch, CloudFormation, CloudTrail, Cognito, Connect, DynamoDB, EventBridge, Glue, IoT Services, Lambda, LEX, Managed Blockchain, Marketplace, Personalize, RDS, Resource Groups, SageMaker, Support Console, Well Architected, and Workspaces. For further details on each of these services, please see the Personal Health Dashboard.

Other services, like S3, remain unaffected by this event.

This issue has also affected our ability to post updates to the Service Health Dashboard.

We are continuing to work towards resolution.11:23 AM PST We continue to work towards recovery of the issue affecting the Kinesis Data Streams API in the US-EAST-1 Region. For Kinesis Data Streams, the issue is affecting the subsystem that is responsible for handling incoming requests. The team has identified the root cause and we continue to make progress in addressing the root cause. We are seeing some improvement in error rates, but continue to work towards full resolution.

The issue also affects other services, or parts of these services, that utilize Kinesis Data Streams within their workflows. While features of multiple services are impacted, some services have seen broader impact and service-specific impact details are included within Recent Events on the Service Health Dashboard. 1:59 PM PST Kinesis Data Streams API requests are still significantly impaired. We have identified a mitigation for this issue, and are actively working towards resolution. 2:49 PM PST Kinesis Data Streams API requests are still impaired but are starting to see recovery. We continue to actively work towards resolution. 4:42 PM PST Kinesis Data Streams API operations are seeing gradual recovery but customers may continue to experience increased latencies and failure rates. We continue to actively work towards resolution. 6:32 PM PST We have now fully mitigated the impact to the subsystem within Kinesis that is responsible for the processing of incoming requests and are no longer seeing increased error rates or latencies. However, we are not yet taking the full traffic load and are working to relax request throttles on the service. Over the next few hours we expect to relax these throttles to previous levels. We expect customers to begin seeing recovery as these throttles are relaxed over this timeframe. 8:53 PM PST We are continuing to relax the request throttles for Kinesis Data Streams and are gradually increasing the traffic into the service. We have not yet enabled requests to Kinesis Data Streams from VPC Endpoints. The Kinesis Data Streams subsystem continues to operate normally, and we expect incremental recovery over the next few hours. 9:26 PM PST We have now enabled a subset of requests to Kinesis Data Streams using VPC Endpoints.10:06 PM PST We have now enabled all requests to Kinesis Data Streams through Internet-facing endpoints. We are continuing to work to re-enable all requests to Kinesis Data Streams using VPC Endpoints.11:00 PM PST We have now enabled all requests to Kinesis Data Streams through both Internet-facing endpoints and VPC Endpoints.Nov 26, 12:03 AM PST Between 5:15 AM and 11:10 PM PST customers experienced a significant impairment to their Amazon Kinesis Data Streams API operations. We have identified the root cause and have completed immediate actions to prevent recurrence. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased API Error Rates,AWS,2020
387,Amazon Relational Database Service (Sydney)," 1:42 PM PST We are investigating increased database create times and cluster unavailability for Amazon Aurora in the AP-SOUTHEAST-2 Region. 2:09 PM PST We can confirm increased database create times and cluster unavailability for Amazon Aurora in the AP-SOUTHEAST-2 Region. We have identified the root cause and continue to work toward resolution. 2:49 PM PST We have resolved the issue resulting in increased database create times, and continue to work toward full resolution on Amazon Aurora Cluster Availability. 4:06 PM PST We are beginning to see recovery for some Amazon Aurora Clusters and continue to work toward full resolution. 6:11 PM PST Beginning at 11:54 AM PST some Amazon Aurora clusters experienced increased database create times and cluster unavailability in the AP-SOUTHEAST-2 Region. Elevated create times were resolved at 2:27 PM PST, at which point some existing clusters continued to experience availability issues. As of 5:35 PM PST both issues have been resolved and the service is operating normally.",[RESOLVED] Increased Create Times and Cluster Unavailability,AWS,2019
460,AWS Certificate Manager (N. Virginia),12:03 PM PST We have confirmed increased error rates for binding certificates and first time certificate issuance in the US-EAST-1 Region. We have also confirmed increased error rates regarding validation emails in all regions. 2:13 PM PST Between 9:37 AM and 1:56 PM PST we experienced increased error rates for binding certificates and first time issuance in the US-EAST-1 Region. We also saw delays in validation e-mails in all regions. The issue has been resolved and the service is operating normally.,[RESOLVED] Increased Error Rates,AWS,2017
484,Amazon Athena (N. Virginia)," 6:57 PM PDT We are investigating increased error rates affecting a small number of customers running Amazon Athena queries in the US-EAST-1 Region. 7:30 PM PDT We have identified the root cause of the issue that was causing some customers to see increased error rates when running Amazon Athena queries in the US-EAST-1 Region and we are working towards recovery. 8:06 PM PDT Between 6:00 PM and 7:50 PM PDT, we experienced increased error rates affecting a small number of customers running Amazon Athena queries in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased Error Rates,AWS,2017
585,AWS Identity and Access Management," 9:52 AM PDT We are investigating elevated latencies and errors on the IAM APIs. In addition, we are investigating propagation delays for recently created or recently updated IAM users, credentials, roles, policies. Authentication and authorization of existing users, credentials, roles, policies are not impacted. Other AWS services like AWS CloudFormation that use IAM roles were also impacted.10:39 AM PDT Between 6:44 AM and 9:12 AM PDT, customers experienced elevated latency and error rates in response to IAM API requests, as well as delays in describing recently created or modified IAM resources. In addition, between 6:44 AM and 10:02 AM, propagation of IAM API updates was delayed in the ME-SOUTH-1, EU-SOUTH-1, AP-EAST-1, and AF-SOUTH-1 regions, and newly created or recently updated IAM users, credentials, roles, and policies may not have been available for authentication and authorization in those regions. Other AWS Services that rely on IAM changes to provision resources, such as CloudFormation, were also impacted. Authentication and authorization for existing users, credentials, roles, policies were not impacted. The issue has been resolved and the service is operating normally.",[RESOLVED] IAM errors and propagation latency,AWS,2022
201,Amazon Simple Storage Service (N. Virginia)," 9:19 AM PDT We have identified the cause of the increased error rates for customers creating and managing Amazon S3 buckets and are working towards resolution. Only a small subset of requests are affected and retries are working. 9:30 AM PDT Between 7:54 AM and 9:18 AM PDT, S3 customers saw elevated errors and latency for a subset of API requests to create and manage Amazon S3 buckets. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased Error Rates for Bucket Operations,AWS,2020
657,AWS Single Sign-On (N. Virginia)," 8:08 AM PDT We are investigating increased error rates in the AWS SSO management console in the US-EAST-1 Region. 8:49 AM PDT We can confirm an issue with the AWS Single Sign-On (SSO) service, which is affecting customers who are using an external identity provider that is enabled in the US-EAST-1 Region.  Affected customers experiencing issues when attempting SSO authentication for the AWS console and services.  We are actively working towards identifying the root cause. 9:10 AM PDT We are seeing recovery of this issue since 8:41 AM PDT, and all AWS console and API requests authenticated with an external SSO provider in the US-EAST-1 Region should be working properly now. We are continuing to monitor systems before confirming full recovery. 9:43 AM PDT Between 7:34 AM and 8:41 AM PDT AWS Single Sign-On (SSO) customers using an external identity provider that is enabled in the US-EAST-1 Region experienced issues when attempting SSO authentication for the AWS console and services.  The issue has been identified and mitigated, and all SSO authentication requests are working properly now.",[RESOLVED] Increased AWS SSO Management Console Error Rates,AWS,2022
125,Amazon WorkSpaces (N. Virginia), 4:38 PM PDT We are investigating increased errors when calling WorkSpaces APIs and connecting to WorkSpaces in the US-EAST-1 Region. 5:39 PM PDT Between 3:35 PM and 4:57 PM PDT we experienced increased API error rates and connection errors to WorkSpaces in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Increased Error Rates,AWS,2020
19,Auto Scaling (N. Virginia), 5:22 PM PDT We are investigating increased error rates for API calls in the US-EAST-1 Region. 5:33 PM PDT Between 5:05 PM and 5:26 PM PDT we experienced increased error rates for API calls in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Increased API Error Rates,AWS,2020
260,Amazon CloudWatch (Tokyo)," 3:38 AM PDT 現在、AP-NORTHEAST-1 リージョンのいくつかのアラームの処理における増加したレイテンシーについて調査を行なっております。| We are investigating increased latencies for processing some alarms in the AP-NORTHEAST-1 Region. 4:23 AM PDT AP-NORTHEAST-1 リージョンのいくつかのアラーム処理の遅延について引き続き調査しております。問題の解決に向けて対応しております。| We continue to investigate delays in processing some alarms in the AP-NORTHEAST-1 Region. We continue to work toward resolution.  6:18 AM PDT 4/20 19:03から21:42(JST)にかけて AP-NORTHEAST-1 リージョンにてお客様がいくつかのアラームの遅延が発生していた可能性がございます。現在ではこちらの問題は解決され、サービスは正常な状態に復旧しております。| Between 3:03 AM and 5:42 AM PDT, customers may have experienced some delayed alarms in the AP-NORTHEAST-1 Region. We have resolved the issue and the service is operating normally. ",[RESOLVED] Alarm delays,AWS,2020
559,Amazon WorkMail (N. Virginia),11:17 AM PDT We are investigating increased Workmail Outlook latencies in the US-EAST-1 Region impacting the sending and receiving of new messages or appointments in Outlook clients.11:33 AM PDT Between 10:16 AM and 11:07 AM PDT we experienced degraded WorkMail Outlook performances in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Increased Latencies,AWS,2017
686,Multiple services (Sao Paulo)," 6:20 AM PDT We are investigating increased error rates and latencies affecting multiple services and the AWS Console in the SA-EAST-1 Region. 6:39 AM PDT We can confirm increased error rates and latencies for some services within the SA-EAST-1 Region. The AWS Management Console is also experiencing elevated error rates as a result of this issue. The root cause of the issue appears to be elevated network packet loss which is affecting some AWS service APIs. The EC2 network, and existing EC2 instances, are not affected by this event. Some services have seen improvements in error rates as a result of mitigations taken by engineers, but we continue to work towards full recovery. 6:55 AM PDT Between 5:56 AM and 6:46 AM PDT, we experienced increased error rates and latencies affecting multiple services and the AWS Management Console in the SA-EAST-1 Region. The EC2 network, and existing EC2 instances, were not affected by this event. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased Error rates and Latencies,AWS,2022
49,Amazon Simple Queue Service (N. Virginia)," 9:13 AM PDT We are currently investigating elevated error rates for SQS in the US-EAST-1 Region. 9:30 AM PDT Between 7:38 AM and 9:18 AM PDT, we experienced elevated API error rates and connection failures in the US-EAST-1 Region. The issue has been resolved and the service is operating normally. ",[RESOLVED] Elevated error rates for SQS,AWS,2020
7,AWS Systems Manager (N. Virginia), 5:18 AM PDT Between 2:50 AM and 4:55 AM PDT we experienced increased API error rates in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Increased error rates,AWS,2020
185,Amazon WorkSpaces (Ireland), 2:20 AM PDT We are investigating increased errors when launching new WorkSpaces in the EU-WEST-1 Region. 2:49 AM PDT Between September 11 6:35 PM and September 12 2:24 AM PDT we experienced increased errors when launching new WorkSpaces in the EU-WEST-1 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] WorkSpaces Launch Errors,AWS,2020
64,AWS Secrets Manager (Oregon), 2:25 AM PDT We are investigating elevated latencies and API error rates in the US-WEST-2 Region. 3:09 AM PDT We continue to investigate elevated latencies and API error rates in the US-WEST-2 Region. 8:04 AM PDT Between 2:04 AM and 7:50 AM PDT we experienced increased API error rates and latencies in the US-WEST-2 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Elevated latencies and API Error Rates,AWS,2020
480,AWS CodeCommit (Ohio), 1:19 AM PDT We are investigating increased Git Push/Pull error rates via the SSH protocol in the US-EAST-2 Region. 1:52 AM PDT Between 12:05 AM and 1:37 AM PDT we experienced increased Git Push/Pull error rates via the SSH protocol in the US-EAST-2 Region. The issue has been resolved and the service is operating normally. 1:56 AM PDT ,[RESOLVED] Increase Git Push/Pull Error Rates via SSH,AWS,2017
259,Amazon Simple Queue Service (N. Virginia)," 3:26 AM PDT We are investigating increased error rates for send and receive operations for FIFO Queues in the US-EAST-1 Region. All other queues are operating normally.
 4:10 AM PDT We have identified the cause of the increased error rates for send and receive operations for FIFO Queues in the US-EAST-1 Region and continue to work towards resolution. All other queues are operating normally and newly created FIFO queues will work without error. 5:05 AM PDT We have identified the cause of the increased error rates for send and receive operations for FIFO Queues in the US-EAST-1 Region, and we are currently in the process of deploying the fix. 5:17 AM PDT Between 2:01 AM PDT and 5:07 AM PDT we experienced increased error rates for send and receive operations for FIFO Queues in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.",[RESOLVED] Elevated Error Rates For FIFO Queues,AWS,2020
65,Amazon Simple Storage Service (Ohio),12:01 PM PDT We are investigating increased error rates for Amazon S3 requests in the US-EAST-2 Region.12:16 PM PDT We have identified the root cause of the increased error rates in the US-EAST-2 Region and are working towards resolution.12:42 PM PDT We have identified the root cause and are seeing some recovery. We are continuing to monitor and work towards full resolution.12:51 PM PDT Between 11:47 AM and 12:33 PM PDT we experienced increased error rates for Amazon S3 requests in the US-EAST-2 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Increased Error Rates,AWS,2020
267,Amazon Elastic Container Service (N. California), 7:31 PM PDT We are investigating elevated API error rates and latencies in the US-WEST-1 Region. 8:13 PM PDT We can confirm elevated API error rates and latencies in the US-WEST-1 Region and continue to work towards resolution. 9:06 PM PDT We have identified the cause of the elevated API error rates and latencies in the US-WEST-1 Region and continue working towards resolution. Running tasks are not impacted. 9:52 PM PDT Between 6:53 PM and 9:37 PM PDT we experienced elevated API error rates and latencies in the US-WEST-1 Region. The issue has been resolved and the service is operating normally. Running tasks were not impacted.,[RESOLVED] Elevated API Error Rates,AWS,2020
509,Amazon Lex (N. Virginia)," 6:24 PM PDT We are investigating increased API error rates to Lambda invocations from Amazon Lex in the US-EAST-1 Region. 7:31 PM PDT We continue to investigate increased API error rates to Lambda invocation from Amazon Lex in the US-EAST-1 Region 8:23 PM PDT We can confirm increased error rates for AWS Lambda calls from Amazon Lex bots in the US-EAST-1 Region. 9:39 PM PDT We continue to experience increased error rates for AWS Lambda calls from Amazon Lex bots in the US-EAST-1 Region and are working towards a resolution.11:19 PM PDT We are beginning to see reduced error rates for AWS Lambda calls from Amazon Lex bots in the US-EAST-1 Region. We continue to work towards a full recovery.Jun 23, 12:32 AM PDT Between 5:31 PM PDT and 11:50 PM PDT we experienced increased error rates for AWS Lambda calls from Amazon Lex bots in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased API Error Rates ,AWS,2017
709,AWS CodeBuild (N. Virginia),"10:49 AM PDT Beginning at 5:20 AM PDT, we experienced increased queue latency for Build operations in the US-EAST-1 Region. We have identified the subsystem responsible for the increase in latency, and have begun mitigation efforts. At this time, we are beginning to see signs of recovery, and continue to work toward full resolution.11:24 AM PDT Beginning at 5:15 AM we began experiencing increased latencies for Build operations. At 7:15 AM, we began notifying impacted customers via the Personal Health Dashboard. By 9:48 AM, we had processed the backlog of latent build operations, and at 10:20 AM, we verified that all new build operations were progressing normally. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased Latency for Build Operations,AWS,2022
701,Amazon Elastic Compute Cloud (Oregon),"12:26 PM PDT We are experiencing increased API error rates for the EC2 APIs in the US-WEST-2 Region. We have identified root cause and are actively working to mitigate impact. Some APIs may experience errors or “request limit exceeded” when calling an affected API or using the EC2 Management Console. In many cases, a retry of the request may succeed as some requests are still succeeding. Other AWS services that utilize these affected APIs for their own workflows may also be experiencing impact. These services have posted impact via the Personal Health and/or Service Health Dashboards. We'll continue to update this post as we have more information to share.12:45 PM PDT Between 11:02 AM and 12:40 PM PDT, we experienced increased API error rates in the US-WEST-2 Region. During this time, customers may have experienced 500 Errors or ""Request Limit Exceeded"" when calling an affected API, or using the EC2 Management Console. In many cases, retries of failed API requests were successful. Other AWS services that utilize the affected APIs for their own workflows also experienced impact. Those AWS Services have communicated with affected customers via the Personal Health Dashboard. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased API Error Rates,AWS,2022
322,Amazon Elastic Compute Cloud (Seoul), 4:38 PM PDT 저희는 AP-NORTHEAST-2 리전의 API 오류율와 지연속도 증가를 조사 중에 있습니다. | We are investigating increased API error rates and latencies in the AP-NORTHEAST-2 Region. 5:27 PM PDT AP-NORTHEAST-2 리전의 EC2 API에 3:46 PM 부터 5:08 PM PDT 까지 지연속도의 증가가 있었습니다. 해당 문제는 현재 해결되었으며 정상 동작 중입니다. | Between 3:46 PM and 5:08 PM PDT we experienced slightly increased latencies for the EC2 APIs in the AP-NORTHEAST-2 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Increased API Error Rates,AWS,2020
687,Amazon Managed Grafana (Oregon),"12:15 AM PDT We are investigating authentication issues affecting workspace availability in the US-WEST-2 Region12:50 AM PDT We have identified the cause of the authentication issue affecting some workspaces in the US-WEST-2 Region and continue to work toward resolution.  1:30 AM PDT Between October 4 11:00 PM and October 5 1:07 AM PDT, we experienced authentication issue affecting some workspaces in the US-WEST-2 Region. The issue has been resolved and the service is operating normally.",[RESOLVED] Authentication Issue,AWS,2022
690,Amazon Route 53,"11:06 AM PDT We are investigating increased API error rates and latency in the US-GOV-WEST-1 Region.11:16 AM PDT Between 10:33 AM and 11:08 AM PDT, customers may have experienced elevated latency and errors when accessing AWS APIs and consoles in the US-GOV-WEST-1 Region.  We have identified the root cause, which has been addressed, and all services are now operating normally.",[RESOLVED] Increased API error rates and latency ,AWS,2022
41,Amazon Elastic MapReduce (Frankfurt)," 3:14 AM PDT We are investigating increased error rates impacting start up of clusters operations in the EU-CENTRAL-1 Region 4:23 AM PDT Between 5:10 PM on August 7th, and 3:50 AM PDT on August 8th, we experienced increased error rates in starting clusters in the EU-CENTRAL-1 Region. The issue has been resolved and the service is operating normally.",[RESOLVED] Failures in starting clusters,AWS,2020
309,Amazon Kinesis Data Streams (Oregon)," 9:31 AM PDT We are investigating increased API error rates for the SubscribeToShard API in the US-WEST-2 Region. 9:55 AM PDT We have identified the root cause of the issue causing increased API error rates for the SubscribeToShard API in the US-WEST-2 Region and we are currently mitigating the impact.10:07 AM PDT Between 06:20 AM and 09:56 AM PDT we experienced an increased error rate for the SubscribeToShard API, affecting some customers in the US-WEST-2 Region. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased API Error Rates,AWS,2020
706,Amazon Kinesis Firehose (Frankfurt), 2:34 PM PDT We are investigating increased API error rates in the eu-central-1 Region. 3:17 PM PDT We have identified the root cause of the issue causing increased elevated error rates in the eu-central-1 Region and are actively working to resolve the issue. 4:47 PM PDT We are starting to see some recovery in API errors in the EU-CENTRAL-1 Regions and continue to work towards full recovery.  5:39 PM PDT Between 1:10 PM PDT and 5:26 PM PDT we experienced increased error rates in the EU-CENTRAL-1 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Increased API Errors,AWS,2022
666,Amazon ElastiCache (Ireland)," 7:19 PM PDT We are experiencing increased latencies while provisioning new ElastiCache nodes and elevated API error rates in the EU-WEST-1 Region. Existing ElastiCache clusters are not impacted and are continuing to serve traffic. We are working to resolve the issue. 7:33 PM PDT Between 6:22 PM and 7:31 PM PDT, Amazon ElastiCache experienced increased latencies while provisioning new ElastiCache nodes and elevated API error rates in the EU-WEST-1 Region. Existing ElastiCache clusters were not impacted and continued to serve traffic. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased Error Rates,AWS,2022
141,AWS IoT Core (Ireland), 3:40 AM PDT We are investigating increased API error rates when establishing new connections to AWS IoT Core in the EU-WEST-1 Region. 4:23 AM PDT Between 1:52 AM and 3:35 AM PDT we experienced increased API error rates and latencies in the EU-WEST-1 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Increased API Errors and Latencies,AWS,2020
593,AWS Lambda (Ireland)," 8:32 AM PDT We are investigating increased invoke timeout rates for AWS Lambda functions in the EU-WEST-1 Region. 9:15 AM PDT We are still investigating increased invoke timeout rates for AWS Lambda functions in the EU-WEST-1 Region. A subset of functions making API calls to other AWS services within the region are affected.10:04 AM PDT We are still investigating increased invoke timeout rates and elevated latencies for a small proportion of AWS Lambda functions in the EU-WEST-1 Region. We have isolated the timeouts to network connectivity issues in a section of the AWS Lambda compute subsystem in the region, and are working through resolution and root cause. The issue affects a subset of functions making API calls to other AWS services within the region.10:43 AM PDT We can confirm increased invoke timeouts and elevated latencies for a small proportion of AWS Lambda functions in the EU-WEST-1 Region. The issue affects a subset of functions making API calls to other AWS services within the region. There are no identified workarounds for affected Lambda functions at this time. We continue to investigate a network connectivity issue in a section of the AWS Lambda compute subsystem. We will formulate a mitigation plan based on these findings as we work towards narrowing root cause and work towards resolution.11:49 AM PDT We continue to experience increased invoke timeouts and elevated latencies for a small proportion of AWS Lambda functions in the EU-WEST-1 Region. The issue affects a subset of functions making API calls to other AWS services within the region. At this point we have not identified any workarounds for affected Lambda functions, and we continue to investigate possible networking issues in a section of the AWS Lambda compute subsystem. We will make more information about our mitigation plan available as soon as we have more information to share. 2:03 PM PDT We continue to investigate our subsystems to identify the root cause of timeouts and elevated latencies for a small proportion of AWS Lambda functions in the EU-WEST-1 Region. Impairment is limited to a small proportion of non-VPC Lambda functions that make outbound network connections. We will update information about workarounds and mitigation plans once we have more information to share. 3:12 PM PDT Between October 4 9:46 AM and October 5 2:47 PM PDT, we experienced timeouts and elevated latencies for a small proportion of AWS Lambda functions in the EU-WEST-1 Region. Impairments were limited to a small proportion of non-VPC Lambda functions that made outbound network connections during this time. The issue has been resolved and the service is operating normally.   ",[RESOLVED] Increased invoke timeouts,AWS,2022
196,Amazon API Gateway (Ireland),12:07 PM PDT We are investigating increased error rates for API invokes in the EU-WEST-1 Region. 1:19 PM PDT We have identified the root cause of the issue causing increased error rates in the EU-WEST-1 Region and are working on a resolution. 1:32 PM PDT Between 10:23 AM and 1:11 PM PDT we experienced increased error rates in the EU-WEST-1 Region. The issue is resolved and the service is operating normally.,[RESOLVED] Increase API error rates,AWS,2020
